tipo_puesto,categoria,fecha_extraccion,status
"Cloud, Systems, DevOps",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Database, Testing, Web",Developer / Engineer,2026-04-01 02:10,1.0
Back end,Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Big Data, Cloud, Database, Machine Learning, Numeric processing, Operations, Systems, Testing",Developer / Engineer,2026-04-01 02:10,1.0
"Big Data, Image Processing",Developer / Engineer,2026-04-01 02:10,1.0
"Big Data, Database, Image Processing, Numeric processing",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Integration, Systems, Testing, Web",Developer / Engineer,2026-04-01 02:10,1.0
"Cloud, Web, Support, Security",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Text Processing",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Cloud, DevOps",Developer / Engineer,2026-04-01 02:10,1.0
Back end,Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Cloud, Database, Front end, Operations, Systems, Web",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Database, Front end, Operations, Systems",Developer / Engineer,2026-04-01 02:10,1.0
"Cloud, DevOps",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Front end, Lead, Machine Learning",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Front end",Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Front end",Developer / Engineer,2026-04-01 02:10,1.0
Back end,Developer / Engineer,2026-04-01 02:10,1.0
"Back end, Cloud, Front end, Machine Learning, Web",Developer / Engineer,2026-04-01 02:10,1.0
"Machine Learning, Numeric processing",Developer / Engineer,2026-04-01 02:10,1.0
Back end,Developer / Engineer,2026-04-01 02:10,1.0
