titulo,empresa,pais,fecha_captura,descripcion,modalidad,tipo_horario,fecha_publicacion,grupo,es_ti,nivel_seniority,es_remoto,largo_descripcion,categoria_horario_modalidad
(212) técnico social para administración y análisis de la información - región metropolitana,corporación opción,chile,2026-03-01 03:56:08,(212) Técnico Social para Administración y Análisis de la Información - Región Metropolitana Santiago Corporación Opción Open job preview for: (212) T...,presencial,full time,,giannella-rieu,True,No especificado,False,153,Presencial FT
2. ejecutivo/a de ventas individuales – la serena,grupo ps,chile,2026-03-01 03:56:17,2. Ejecutivo/A De Ventas Individuales – La Serena La Serena Grupo PS Open job preview for: 2. Ejecutivo/A De Individuales – La Serena - La Serena...,presencial,full time,,giannella-rieu,False,No especificado,False,148,Presencial FT
266930-04 consultor en calidad de aguas,ryq ingeniería,chile,2026-05-02 03:57:17,"Hace 2 días 266930-04 Consultor en Calidad de Aguas RyQ Ingeniería Machalí, Lib. Gral. Bdo. O'Higgins R&Q Ingeniería , consultora especializada en el gerenciamiento integral de grandes proyectos, con 48 años de trayectoria, se encuentra en búsqueda de ...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,255,Otro
266930-08 consultor ingeniero de gestión ambiental,ryq ingeniería,chile,2026-05-02 03:57:17,"Hace 2 días 266930-08 Consultor Ingeniero de Gestión Ambiental RyQ Ingeniería Machalí, Lib. Gral. Bdo. O'Higgins R&Q Ingeniería , consultora especializada en el gerenciamiento integral de grandes proyectos, con 48 años de trayectoria, se encuentra en búsqueda de ...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,266,Otro
266930-3.1 consultor en calidad y mejoramiento de suelos,ryq ingeniería,chile,2026-05-02 03:57:17,"Hace 2 días 266930-3.1 Consultor en Calidad y mejoramiento de Suelos RyQ Ingeniería Machalí, Lib. Gral. Bdo. O'Higgins R&Q Ingeniería , consultora especializada en el gerenciamiento integral de grandes proyectos, con 48 años de trayectoria, se encuentra en búsqueda de ...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,272,Otro
266943- 02 ingeniero ayudante,ryq ingeniería,chile,2026-05-02 03:57:17,"Hace 2 días 266943- 02 Ingeniero Ayudante RyQ Ingeniería Chañaral, Atacama R&Q Ingeniería , consultora especializada en el gerenciamiento integral de grandes proyectos, con 48 años de trayectoria, se encuentra en búsqueda de ...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,228,Otro
266943- 11 prevencionista de riesgos,ryq ingeniería,chile,2026-05-02 03:57:16,"Publicada ayer 266943- 11 Prevencionista de riesgos RyQ Ingeniería Chañaral, Atacama R&Q Ingeniería , consultora especializada en el gerenciamiento integral de grandes proyectos, con 48 años de trayectoria, se encuentra en búsqueda de ...",presencial,no especificado,Publicada ayer,denisBaez,False,No especificado,False,238,Otro
abogado asistente viña del mar,empresa confidencial,chile,2026-05-02 04:01:33,"Hace 10 días ABOGADO ASISTENTE VIÑA DEL MAR Empresa Confidencial Viña del Mar, Valparaíso ...requiere abogado para...",presencial,no especificado,Hace 10 días,denisBaez,False,No especificado,False,117,Otro
abogado prm media jornada,"institucion colaboradora servicio de.., santiago",chile,2026-05-02 03:46:30,"Llamado a concurso para el cargo de abogado/a, media jornada (20 horas) para… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,85,Presencial FT
administrador (a) hotel,"empresa de servicio a.., antofagasta",chile,2026-05-02 03:43:29,"Importante empresa de la región de antofagasta, se encuentra en la búsqueda de… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,87,Presencial FT
administrador de contratos - antofagasta,"importante empresa automotriz, antofagasta",chile,2026-05-02 03:43:29,Empresa del rubro automotriz se encuentra en la búsqueda de un(a) administrador(a) de… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,94,Presencial FT
administrador de contrato,empresa destacada,chile,2026-03-01 04:05:42,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador de obra,"constructora caicona spa, concepción",chile,2026-05-02 03:50:13,"1. perfil: mujer, encargado de obra (residente) proyecto: conservación del museo de historia,… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,102,Presencial FT
administrador de restaurante,empresa destacada,chile,2026-03-01 04:05:42,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador zonal,empresa destacada,chile,2026-03-01 04:05:43,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador,empresa destacada,chile,2026-03-01 04:05:42,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrativo area mentencion - el bosque,empresa confidencial,chile,2026-05-02 03:59:02,"Hace 2 días ADMINISTRATIVO AREA MENTENCION - EL BOSQUE Empresa Confidencial El Bosque, Metropolitana de Santiago Importante Empresa de Servicios Industriales,... Destacada",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,171,Otro
administrativo polifuncional,"zona sur, concepción",chile,2026-05-02 03:50:17,Administrativo integral polifuncional de sucursal descripción del puesto: buscamos un administrativo integral proactivo… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,128,Presencial FT
administrativo(a) de recursos humanos – faena…,"arriendo del norte, calama",chile,2026-05-02 03:47:55,Estamos contratando dos administrativo(a) de recursos humanos – faena (drt) objetivo del cargo:… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,104,Presencial FT
ai automation engineer,dispatchtrack,chile,02/05/2026,"Sobre el RolDispatchTrack, el SaaS que está liderando en logística de última milla, transformando la experiencia de nuestros clientes y sus clientes a través de la tecnología e innovación con...",híbrido,jornada completa,02/05/2026,sofiaUrquieta,False,No especificado,False,194,Otro
ai expansion kam,no especificada,in-office,2026-05-02 04:21:25,No disponible en listado,presencial,full time,Mar 19,diegoCastillo,False,No especificado,False,24,Presencial FT
alumna en practica contable-administracion,"jcl, santiago",chile,2026-05-02 03:43:28,"Buscamos alumna para hacer practica, con estudios contables , para atencion de ventas… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,94,Presencial FT
alumna en practica curico,"gestion habitacional, curicó",chile,2026-05-02 03:43:35,Empresa rubro inmobiliario se necesita alumna en práctica para desempeñarse en el área… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,95,Presencial FT
analista contable,"grupo wellness, santiago",chile,2026-05-02 03:46:59,Te estamos buscando. ¡Únete a grupo wellness! en grupo wellness estamos en búsqueda… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,92,Presencial FT
analista crm y marketing,gama leasing operativo,chile,2026-05-02 03:59:47,"Hace 8 días ANALISTA CRM Y MARKETING Gama Leasing Operativo Pudahuel, Metropolitana de Santiago ...Analista CRM y Marketing| Desde 2 años... Destacada",presencial,no especificado,Hace 8 días,denisBaez,False,No especificado,False,150,Otro
analista de administración,petco,chile,2026-03-01 19:51:17,ANALISTA DE ADMINISTRACIÓN Santiago PETCO Open job preview for: ANALISTA DE - Santiago...,presencial,full time,,giannella-rieu,False,No especificado,False,89,Presencial FT
analista de operaciones,"consorcio nacional de distribución.., valparaíso",chile,2026-05-02 03:43:00,"Empresa contratista está en búsqueda de un analista administrativo responsable, organizado y con… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,105,Presencial FT
analista de recursos humanos / reclutamiento,empresa destacada,chile,2026-03-01 04:06:15,Oferta para el area de recursos-humanos,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,39,Presencial FT
analista de rrhh y administracion,"empresa de servicios industriales, santiago",chile,2026-05-02 03:43:27,"Empresa prestadora de servicios de facilities (aseo industrial, guardias de segurid, outsourcing) ubicada… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,114,Presencial FT
analista de ruta / transporte,"distribuidora lira spa, santiago",chile,2026-05-02 03:43:36,"Empresa distribuidora de alimentos para mascota, requiere de analista de ruta, con experiencia… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,103,Presencial FT
analista ecosistema vivienda,banco crédito e inversiones,chile,2026-05-02 04:03:47,"Hace 2 días ANALISTA ECOSISTEMA VIVIENDA Banco Crédito e Inversiones Las Condes, Metropolitana de Santiago ...la CMF, ABIF y Banco Central para...",presencial,no especificado,Hace 2 días,denisBaez,True,No especificado,False,146,Otro
analista recursos humanos,empresa destacada,chile,2026-03-01 04:06:15,Oferta para el area de recursos-humanos,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,39,Presencial FT
analista riesgo de crédito y cobranza institución financiera,cooperativa de ahorro y crédito valles de chile,chile,2026-03-01 19:48:04,ANALISTA RIESGO DE CRÉDITO Y COBRANZA INSTITUCIÓN FINANCIERA La Serena Cooperativa de Ahorro y Crédito Valles de Chile Open job preview for: ANALISTA ...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
asistente administrativo comercial - logistica,"dyv servicios spa, santiago",chile,2026-05-02 03:44:35,"Se requiere: conocimiento excel intermedio (tablas dinamicas) atencion de clientes, para gestiones de… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,110,Presencial FT
asistente administrativo contable y de recepción…,"el alto, san antonio",chile,2026-05-02 03:46:30,"Grupo el alto, conformado por migrin (minería no metálica), transmineral (logística y transporte)… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,106,Presencial FT
asistente administrativo,"ats maquinarias, santiago",chile,2026-05-02 03:45:33,"Buscamos una persona organizada, proactiva y con capacidad de resolución de problemas para… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,99,Presencial FT
asistente administrativo,"empresa agroalimentaria, puerto montt",chile,2026-05-02 03:47:04,"Cargo: asistente administrativa/o — empresa agroalimentaria (puerto varas) empresa agroalimentaria en crecimiento, ubicada… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,131,Presencial FT
asistente comercial,"importante empresa del rubro, santiago",chile,2026-05-02 03:44:33,"Somos una empresa que ejecuta proyectos de ingeniería, requerimos incorporar a nuestro equipo… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,102,Presencial FT
asistente de desarrollo comercial puerto varas,"distribuidora mayorista almonacid, puerto montt",chile,2026-05-02 03:44:34,Empresa dedicada al rubro de ventas por mayor de alimentos de mascotas y… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,81,Presencial FT
asistente de finanza,"allison belleza, santiago",chile,2026-05-02 03:47:00,Convocatoria laboral: asistente de finanzas buscamos un profesional técnico o universitario en las… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,107,Presencial FT
asistente de logística y operaciones,"ts international chile spa, santiago",chile,2026-05-02 03:45:32,Ubicación: santiago jornada: part time 30 horas – lunes a viernes principales funciones:… Ver más,presencial,part time,Reciente,Benjamin-Ramirez,False,No especificado,False,97,Presencial PT
asistente en administracion de rrhh,constructora imc,chile,2026-03-01 19:47:07,ASISTENTE EN ADMINISTRACION DE RRHH La Serena Constructora IMC Open job preview for: ASISTENTE EN DE RRHH - La Serena...,presencial,full time,,giannella-rieu,False,No especificado,False,120,Presencial FT
asistente logistico,empresa destacada,chile,2026-03-01 04:06:07,Oferta para el area de logistica,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,32,Presencial FT
asistente marketing - redes sociales -…,"servidiesel spa, puerto montt",chile,2026-05-02 03:43:02,Empresa requiere incorporar asistente en marketing para apoyar en la gestión digital y… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,True,No especificado,False,95,Presencial FT
atencion sala de venta,"distribuidora rapa nui ltda, temuco",chile,2026-05-02 03:44:04,Distribuidora de productos congelados requiere para sucursal ubicada en villarrica asistente para sala… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,111,Presencial FT
auxiliar contable y de recursos humanos,"miyaki s a, iquique",chile,2026-05-02 03:43:35,Auxiliar contable y de recursos humanos zona franca de iquique propósito del cargo… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,91,Presencial FT
auxiliar de administracion,accor,chile,2026-03-01 03:54:25,AUXILIAR DE ADMINISTRACION Antofagasta Accor Open job preview for: AUXILIAR DE - Antofagasta...,presencial,full time,,giannella-rieu,False,No especificado,False,95,Presencial FT
ayudante bodega,"homs pack, santiago",chile,2026-05-02 03:45:03,"Empresa de 40 años de antigüedad, en sector de patronato, requiere ayudantes de… Ver más",presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,88,Presencial FT
ayudante produccion - fabrica etiquetas cintas…,"spot packaging spa, santiago",chile,2026-05-02 03:45:33,Funciones principales: apoyo en operación de maquinas traslado de materiales y logistica interna… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,105,Presencial FT
abogado compliance - nova andino litio,trabaja en sqm litio,chile,2026-05-02 04:01:32,"Hace 3 días Abogado Compliance - Nova Andino Litio Trabaja en SQM Litio Santiago, Metropolitana de Santiago ...equipo como Abogado Compliance,...",presencial,no especificado,Hace 3 días,denisBaez,False,No especificado,False,145,Otro
abogado especialista en propiedad intelectual,one match consulting,chile,2026-05-02 04:01:33,"Hace 11 días Abogado Especialista en Propiedad Intelectual ONE MATCH CONSULTING Las Condes, Metropolitana de Santiago ...búsqueda de un Abogado para una...",presencial,no especificado,Hace 11 días,denisBaez,False,No especificado,False,155,Otro
abogado externo san felipe - los andes,alto s.a.,chile,2026-05-02 04:01:33,"Hace 8 días Abogado Externo San Felipe - Los Andes ALTO S.A. Valparaíso, Valparaíso ...vacante de Abogado Externo,...",presencial,no especificado,Hace 8 días,denisBaez,False,No especificado,False,117,Otro
abogado junior en la ciudad de concepción,empresa confidencial,chile,2026-05-02 04:01:33,"Hace 11 días Abogado Junior en la ciudad de Concepción Empresa Confidencial Concepción, Biobío ...Buscamos 2 Abogados Junior:...",presencial,no especificado,Hace 11 días,denisBaez,False,Junior,False,128,Otro
abogado litigante puerto montt jornada completa | región de los lagos,hagedorn y belmar abogados ltda,chile,2026-05-02 04:01:33,"Hace 10 días Abogado Litigante Puerto Montt Jornada completa | Región de Los Lagos Hagedorn y Belmar Abogados Ltda Puerto Montt, Los Lagos ...a un abogado(a) litigante...",presencial,full-time,Hace 10 días,denisBaez,False,No especificado,False,170,Otro
abogado rm externo,alto s.a.,chile,2026-05-02 04:01:33,"Hace 11 días Abogado RM Externo ALTO S.A. Santiago, Metropolitana de Santiago ...vacante de Abogado Externo, donde...",presencial,no especificado,Hace 11 días,denisBaez,False,No especificado,False,117,Otro
abogado cartera cobranza santiago (2026),fernandez & marquez abogados ltda.,chile,2026-05-02 04:01:33,"Hace 10 días Abogado cartera Cobranza Santiago (2026) FERNANDEZ & MARQUEZ ABOGADOS LTDA. Santiago, Metropolitana de Santiago ...busca abogado(a) con amplia...",presencial,no especificado,Hace 10 días,denisBaez,False,No especificado,False,158,Otro
abogado de cumplimiento normativo,bci seguros,chile,2026-05-02 04:01:33,"Hace 11 días Abogado de Cumplimiento Normativo Bci Seguros Las Condes, Metropolitana de Santiago ...búsqueda de un Abogado de Cumplimiento...",presencial,no especificado,Hace 11 días,denisBaez,False,No especificado,False,141,Otro
"abogado(a) - santiago - idiem, universidad de chile",uchile - facultad ciencias fisicas matematicas,chile,2026-05-02 04:01:32,"Hace 2 días Abogado(a) - Santiago - IDIEM, Universidad de Chile UChile - Facultad Ciencias Fisicas Matematicas Santiago, Metropolitana de Santiago ...próximo/a Abogado(a) para...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,178,Otro
abogado(a) laboral senior,empresa confidencial,chile,2026-05-02 04:01:32,"Hace 25 días Abogado(a) Laboral Senior Empresa Confidencial Las Condes, Metropolitana de Santiago ...Retail busca Abogado(a) Laboral... Destacada",presencial,no especificado,Hace 25 días,denisBaez,False,Senior,False,145,Otro
abogado(a) litigación departamento de asesoría jurídica (la serena),corfo,chile,2026-03-01 19:48:55,Abogado(a) Litigación Departamento de Asesoría Jurídica (La Serena) La Serena Corfo Open job preview for: Abogado(a) Litigación Departamento de Asesor...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
abogado(a) litigación – defensa del servicio de salud,corfo,chile,2026-03-01 19:47:39,Abogado(a) Litigación – Defensa del Servicio de Salud La Serena Corfo Open job preview for: Abogado(a) Litigación – Defensa del Servicio de Salud - La...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
abogado/a especializado/a en derecho administrativo - arica arica,manpower,chile,2026-05-02 04:01:32,"Hace 5 días Abogado/a Especializado/a en Derecho Administrativo - Arica Arica Manpower Arica, Arica y Parinacota En ManpowerGroup junto a nuestro cliente...",presencial,no especificado,Hace 5 días,denisBaez,False,No especificado,False,156,Otro
abogado/a institución de salud,abogado/a institución de salud,chile,2026-05-02 04:12:22,"Empleo destacado Abogado/a Institución de Salud Importante empresa del sector Talagante, R.Metropolitana $ 1.000.000,00 (Mensual) Hace 2 horas...",presencial,full time,Hace 2 horas,Lizette-Sanmartin,False,No especificado,False,145,Presencial FT
abogado/a de gestión judicial,bancoestado cobranzas,chile,2026-05-02 04:01:33,"Hace 9 días Abogado/a de Gestión Judicial BANCOESTADO COBRANZAS Santiago, Metropolitana de Santiago ...en búsqueda de Abogado/a de Gestión...",presencial,no especificado,Hace 9 días,denisBaez,False,No especificado,False,141,Otro
abogado,empresa confidencial,chile,2026-05-02 04:01:32,"Hace 4 días Abogado Empresa Confidencial Talca, Maule ...de un/a Abogado/a Trainee  ...",presencial,no especificado,Hace 4 días,denisBaez,False,No especificado,False,87,Otro
"académico jornada, carrera de licenciatura en astronomía",universidad central de chile,chile,2026-05-02 04:01:17,"Hace 2 días Académico jornada, Carrera de Licenciatura en Astronomía Universidad Central de Chile La Serena, Coquimbo Universidad Central solicita contratar...",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,159,Otro
