titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
(212) técnico social para administración y análisis de la información - región metropolitana,corporación opción,Presencial,Full time,Otros,No especificado,True,False,153
2. ejecutivo/a de ventas individuales – la serena,grupo ps,Presencial,Full time,Ventas / Comercial,No especificado,False,False,148
266930-04 consultor en calidad de aguas,ryq ingeniería,Presencial,Otro,QA / Testing,No especificado,False,False,255
266930-08 consultor ingeniero de gestión ambiental,ryq ingeniería,Presencial,Otro,Otros,No especificado,False,False,266
266930-3.1 consultor en calidad y mejoramiento de suelos,ryq ingeniería,Presencial,Otro,QA / Testing,No especificado,False,False,272
266943- 02 ingeniero ayudante,ryq ingeniería,Presencial,Otro,Otros,No especificado,False,False,228
266943- 11 prevencionista de riesgos,ryq ingeniería,Presencial,Otro,Otros,No especificado,False,False,238
abogado asistente viña del mar,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,117
abogado prm media jornada,"institucion colaboradora servicio de.., santiago",Presencial,Full time,Data / BI,No especificado,False,False,85
administrador (a) hotel,"empresa de servicio a.., antofagasta",Presencial,Full time,Otros,No especificado,False,False,87
administrador de contratos - antofagasta,"importante empresa automotriz, antofagasta",Presencial,Full time,Otros,No especificado,False,False,94
administrador de contrato,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrador de obra,"constructora caicona spa, concepción",Presencial,Full time,Otros,No especificado,False,False,102
administrador de restaurante,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrador zonal,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrador,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrativo area mentencion - el bosque,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,171
administrativo polifuncional,"zona sur, concepción",Presencial,Full time,Otros,No especificado,False,False,128
administrativo(a) de recursos humanos – faena…,"arriendo del norte, calama",Presencial,Full time,Recursos Humanos,No especificado,False,False,104
ai automation engineer,dispatchtrack,Híbrido,Full time,Otros,No especificado,False,False,194
ai expansion kam,no especificada,Presencial,Full time,Otros,No especificado,False,False,24
alumna en practica contable-administracion,"jcl, santiago",Presencial,Full time,Otros,No especificado,False,False,94
alumna en practica curico,"gestion habitacional, curicó",Presencial,Full time,Otros,No especificado,False,False,95
analista contable,"grupo wellness, santiago",Presencial,Full time,Otros,No especificado,False,False,92
analista crm y marketing,gama leasing operativo,Presencial,Otro,Otros,No especificado,False,False,150
analista de administración,petco,Presencial,Full time,Otros,No especificado,False,False,89
analista de operaciones,"consorcio nacional de distribución.., valparaíso",Presencial,Full time,Otros,No especificado,False,False,105
analista de recursos humanos / reclutamiento,empresa destacada,Presencial,Full time,Recursos Humanos,No especificado,False,False,39
analista de rrhh y administracion,"empresa de servicios industriales, santiago",Presencial,Full time,Recursos Humanos,No especificado,False,False,114
analista de ruta / transporte,"distribuidora lira spa, santiago",Presencial,Full time,Otros,No especificado,False,False,103
analista ecosistema vivienda,banco crédito e inversiones,Presencial,Otro,Otros,No especificado,True,False,146
analista recursos humanos,empresa destacada,Presencial,Full time,Recursos Humanos,No especificado,False,False,39
analista riesgo de crédito y cobranza institución financiera,cooperativa de ahorro y crédito valles de chile,Presencial,Full time,Otros,No especificado,False,False,153
asistente administrativo comercial - logistica,"dyv servicios spa, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,110
asistente administrativo contable y de recepción…,"el alto, san antonio",Presencial,Full time,Otros,No especificado,False,False,106
asistente administrativo,"ats maquinarias, santiago",Presencial,Full time,Otros,No especificado,False,False,99
